kepid,kepoi_name,koi_disposition,koi_prad,koi_teq,koi_insol,koi_period,koi_duration,koi_depth,koi_steff,koi_slogg,koi_srad,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
3122985,K01949.01,FALSE POSITIVE,17.9,1914.0,3172.24,0.993488979,1.9694,24327.0,5811.0,4.328,0.998,292.91891,38.206692,0,1,0,0
3248019,K01759.01,FALSE POSITIVE,44.9,1880.0,2954.64,1.334104585,3.14624,61691.0,6319.0,4.373,1.083,294.59683,38.37014,0,1,0,0
3328026,K01994.01,FALSE POSITIVE,25.84,1432.0,995.26,2.115498574,6.738,444.2,5917.0,4.475,1.0,287.18961,38.43166,0,0,1,1
7116024,K07812.01,FALSE POSITIVE,0.69,1540.0,1328.5,3.40076682,4.7,21.1,6134.0,4.142,1.496,291.24313,42.630169,1,0,0,1
2014991,K02178.01,FALSE POSITIVE,3.74,1761.0,2273.36,6.49676881,2.527,135.0,6418.0,3.658,3.049,291.54935,37.40358,0,1,1,0
12885212,K02184.01,FALSE POSITIVE,1.27,1037.0,273.84,2.057499811,2.569,325.6,4620.0,4.564,0.736,290.17502,52.220341,0,0,1,0
5894073,K02187.01,FALSE POSITIVE,1.49,912.0,163.41,10.5856758,4.911,178.7,6246.0,4.433,1.092,296.64755,41.177021,0,0,1,0
10518424,K02188.01,FALSE POSITIVE,15.78,1334.0,749.66,2.69633621,5.238,238.6,6106.0,4.496,0.923,283.75385,47.796951,0,1,1,1
4245933,K02190.01,FALSE POSITIVE,2.14,497.0,14.44,11.2580745,23.516,713.3,4257.0,4.691,0.586,286.40198,39.338799,0,0,1,1
7199724,K07822.01,FALSE POSITIVE,0.66,2296.0,6597.1,0.566795586,4.124,39.4,6108.0,4.471,0.997,291.59357,42.719299,1,0,0,1
12935144,K02847.01,FALSE POSITIVE,1.37,1414.0,947.02,1.099291188,1.765,282.6,4878.0,4.5,0.843,290.233,52.33601,0,0,1,0
6185496,K02858.01,FALSE POSITIVE,1.43,1840.0,2691.55,0.47462889,1.0194,331.3,4904.0,4.527,0.786,284.36203,41.577549,0,0,1,0
6606438,K02860.01,CONFIRMED,3.16,416.0,7.08,103.4269873,5.03,950.1,6208.0,4.454,1.024,291.92255,42.00256,0,0,0,0
9149789,K02874.01,CANDIDATE,1.0,2194.0,5534.14,0.352515897,1.0525,168.2,5465.0,4.598,0.766,289.85889,45.503841,0,0,0,0
12170648,K02875.01,FALSE POSITIVE,2.03,2246.0,6005.79,0.299697755,0.8473,346.9,5180.0,4.547,0.782,296.96381,50.74538,0,1,0,0
7051984,K02879.01,CANDIDATE,2.09,3653.0,41863.05,0.339069751,1.1516,53.2,5653.0,3.846,2.183,296.7019,42.508652,0,0,0,0
7282168,K07831.01,FALSE POSITIVE,0.42,1832.0,2676.11,0.56681727,1.779,35.9,5481.0,4.629,0.708,291.83051,42.867729,0,0,1,1
9851943,K04001.01,FALSE POSITIVE,0.99,1364.0,819.14,1.081935491,5.136,202.9,4938.0,4.569,0.718,299.04044,46.670368,0,1,1,1
5773121,K04002.01,CONFIRMED,1.27,1891.0,3049.23,0.524175803,0.7648,236.8,5278.0,4.576,0.815,285.33154,41.063911,0,0,0,0
2708420,K04003.01,FALSE POSITIVE,0.86,1414.0,944.68,1.89129881,5.294,82.0,5806.0,4.507,0.893,290.35153,37.94857,0,0,1,1
4814502,K04004.01,CONFIRMED,1.41,1058.0,296.74,4.94330596,2.9334,126.2,5661.0,4.415,1.008,283.99509,39.917,0,0,0,0
8142787,K04005.01,CONFIRMED,2.25,291.0,1.7,178.139072,9.654,678.8,5431.0,4.496,0.879,280.80157,44.033989,0,0,0,0
7613620,K07843.01,CANDIDATE,0.79,1885.0,2985.06,0.619023176,1.496,77.9,5395.0,4.536,0.891,293.67114,43.217609,0,0,0,0
3345675,K01772.01,CANDIDATE,15.08,240.0,0.78,120.00336404,3.3803,39596.0,4315.0,4.627,0.668,292.30069,38.402142,0,0,0,0
3654950,K01766.01,FALSE POSITIVE,68.81,978.0,215.71,4.067371428,5.8962,63447.0,5385.0,4.532,0.75,293.83289,38.73634,0,1,0,0
3836453,K01903.01,FALSE POSITIVE,0.94,1211.0,510.22,1.540395781,1.6305,173.4,4955.0,4.592,0.735,286.95236,38.918331,0,1,1,1
3952651,K01912.01,FALSE POSITIVE,28.34,568.0,24.63,32.9045733,4.402,662.3,5780.0,4.438,1.0,291.04391,39.023685,0,0,1,0
3966262,K01811.01,FALSE POSITIVE,21.49,1171.0,445.83,2.46353343,2.954,830.0,5541.0,4.587,0.777,294.57605,39.03928,0,1,1,0
4144231,K01791.01,FALSE POSITIVE,24.11,510.0,15.94,22.91339043,3.94,5407.0,5451.0,4.663,0.6,287.83228,39.225552,0,1,1,1
9964670,K02192.01,FALSE POSITIVE,1.5,1273.0,619.14,1.541350116,3.29,378.0,5150.0,4.59,0.784,297.02771,46.874519,0,0,1,0
6209798,K02196.01,FALSE POSITIVE,12.6,1988.0,3681.8,1.205412526,1.537,109.2,6292.0,4.32,1.122,293.33835,41.59024,0,1,1,0
6525249,K02197.01,FALSE POSITIVE,23.38,1647.0,1740.08,1.710316235,3.614,409.4,6147.0,4.435,1.096,292.73456,41.90477,0,0,1,1
11075429,K02198.01,CONFIRMED,3.01,1020.0,255.65,23.9210408,5.174,158.3,7121.0,4.031,1.972,287.13028,48.665371,0,0,0,0
11705004,K02199.01,CONFIRMED,1.96,729.0,66.89,9.03326435,2.857,610.7,5311.0,4.588,0.788,287.53503,49.801659,0,0,0,0
6137681,K03932.01,FALSE POSITIVE,28.27,220.0,0.55,356.535835,5.467,3113.0,5385.0,4.532,0.75,295.83484,41.426971,0,1,1,1
11244682,K03933.01,CONFIRMED,1.32,1010.0,245.65,3.490785878,1.4513,336.8,5496.0,4.618,0.725,292.13733,48.917191,0,0,0,0
9655419,K03934.01,FALSE POSITIVE,79.14,2382.0,7634.18,1.92149487,1.891,1006.0,6831.0,3.959,2.247,294.34845,46.390755,0,1,0,0
5895158,K03935.01,CONFIRMED,1.29,1681.0,1880.33,1.093665854,1.4399,218.4,5845.0,4.541,0.874,296.9028,41.198189,0,0,0,0
4947556,K03936.01,CANDIDATE,2.98,290.0,1.68,141.608555,7.685,1263.1,5083.0,4.512,0.844,297.57712,40.02771,0,0,0,0
7287028,K07832.01,CANDIDATE,0.68,1192.0,477.0,3.6092231,2.8,52.4,6032.0,4.508,0.929,293.35861,42.80666,0,0,0,0
5471690,K04006.01,FALSE POSITIVE,1.47,1284.0,642.95,12.4247333,16.828,40.5,6632.0,3.86,2.193,297.72531,40.640789,1,0,1,1
